row,id,province,district,name,short_name,type,latitude,longitude,id_mysql
1,1040215,6,93,"CS Mugema",,29,-15.39806,37.55469,0
2,1040206,6,93,"CS Alto Molocue",,29,-15.63036,37.6834,0
3,1040299,6,93,"CS Bonifacio Groveta",,29,-15.64411,37.67947,0
4,1040207,6,93,"CS Caiaia",,29,-15.56499,37.79044,0
5,1040208,6,93,"CS Chapala",,29,-15.86313,37.63764,0
6,1040255,6,93,"CS Nacuaca",,29,-15.72935,37.84361,0
7,1040236,6,93,"CS Cololo",,29,-15.5678,37.35907,0
8,1040216,6,93,"CS Ecole",,29,-15.38616,37.76771,0
9,1040200,6,93,"HD Alto Mulocue",,8,-15.63113,37.68285,0
10,,6,93,"IFP Alto Molocue",,29,-15.60319,37.67705,0
11,1040265,6,93,"CS Malua",,29,-15.69201,37.64708,0
12,1040212,6,93,"CS Mutala",,29,-15.91799,37.85249,0
13,1040213,6,93,"CS Nauela",,29,-15.4338,37.44332,0
14,1040214,6,93,"CS Nivava",,29,-15.67024,37.57318,0
15,1040237,6,93,"CS Novanana",,29,-15.76369,37.75541,0
16,1040256,6,93,"PS Nimala",,1,-15.56126,37.59034,0
17,1040307,6,94,"CS Chinde",,29,-18.58444,36.46317,0
18,1040309,6,94,"CS Madal",,29,-18.26853,36.65026,0
19,1040313,6,94,"CS Jorge",,29,-18.65355,36.37372,0
20,1040310,6,94,"CS Matilde",,29,-18.66579,36.24213,0
21,1040311,6,94,"CS Micaune",,29,-18.36768,36.56823,0
22,1040316,6,94,"PS Centro Educacional",,1,-18.61163,36.43132,0
23,1040312,6,94,"PS Mitange",,1,-18.29418,36.71372,0
24,,6,113,"Clinica Boa Esperanca",,29,-17.87735,36.88629,0
25,1040106,6,113,"CS 17 De Setembro",,29,-17.86173,36.89529,0
26,1040107,6,113,"CS 24 de Julho",,29,-17.87551,36.88089,0
27,1040109,6,113,"CS 4 de Dezembro",,29,-17.88024,36.89162,0
28,1040114,6,113,"CS Chabeco",,29,-17.86572,36.88763,0
29,1040108,6,113,"CS Coalane",,29,-17.86106,36.90789,0
30,1040117,6,113,"CS Incidua",,2,-17.88773,36.91575,0
31,1040125,6,113,"CS Inhangulue",,2,-17.9359,36.94303,0
32,1040119,6,113,"CS Estação Malanha",,29,-17.79103,37.15407,0
33,1040122,6,113,"CS Maquival Sede",,29,-17.77862,37.05837,0
34,1040120,6,113,"CS Ionge",,2,-17.70022,37.11317,0
35,1040121,6,113,"CS Madal",,29,-17.93999,36.98226,0
36,104115,6,113,"CS Santo Egidio",,29,-17.85996,36.89579,0
37,1040101,6,113,"HC Quelimane",,12,-17.81763,36.95779,0
38,,6,113,"ICS Quelimane",,29,-17.8201,36.9547,0
39,1040123,6,113,"CS Maquival Rio",,29,-17.73098,37.07561,0
40,1040116,6,113,"CS Micajune",,29,-17.8469,36.90066,0
41,1040111,6,113,"CS Namuinho",,29,-17.81898,36.94673,0
42,1040112,6,113,"CS Sangarivera",,29,-17.86762,36.92372,0
43,1040124,6,113,"CS Varela",,29,-17.85618,37.02334,0
44,,6,113,"CS VET",,29,-17.87235,36.89176,0
45,,6,113,"DPM Zambezia",,29,-17.8822,36.8872,0
